name,world_ranking,region_ranking,country_ranking,country,city,type,acceptance_rate,high_degree,publication,website,language,,phone_no,,address
Technical University of Denmark,"#222 of 14,131","#79 of 2,785",#3 of 27,Italy,Emilia-Romagna,Non-profit,45%,Doctorate,"59,495",www.dtu.dk,Danish;English,,+45 4525 2525,,"Anker Engelundsvej 1
 Kongens Lyngby, Capital Region of Denmark, 2800 
Denmark"
Technical University of Munich,"#86 of 14,131","#16 of 2,785",#3 of 369,Sweden,Stockholm,Non-profit,8%,Doctorate,"109,945",www.tum.de,German;English,,+49 (89) 289 01,,"Arcisstrasse 21
 München, Bavaria, 80333 
Germany"
University College Dublin,"#248 of 14,131","#91 of 2,785",#1 of 32,the Netherlands,Utrecht,Non-profit,20%,null,"49,569",www.ucd.ie,English,,+353 (1) 716 7777,,"Belfield
 Dublin, County Dublin, D04 V1W8 
Ireland"
University College London,"#20 of 14,131","#3 of 2,785",#3 of 163,Poland,Warsaw,Non-profit,28%,Doctorate,"191,386",www.ucl.ac.uk,English,,+44 (20) 7679 2000,,"Gower Street
 London, London, WC1E 6BT 
United Kingdom"
University of Amsterdam,"#68 of 14,131","#9 of 2,785",#1 of 58,Germany,Schleswig-Holstein,Non-profit,5%,Doctorate,"125,528",www.uva.nl,Dutch;English,,+31 (20) 525 9111,,"Spui 21
 Amsterdam, North Holland, 1012 WX 
Netherlands"
University of Barcelona,"#107 of 14,131","#27 of 2,785",#1 of 75,Germany,Brandenburg,Non-profit,75%,Doctorate,"99,036",www.ub.edu,Catalan;Spanish,,+34 934021100,,"Gran Via de Les Corts Catalanes, 585
 Barcelona, Catalonia, 08007 
Spain"
University of Basel,"#245 of 14,131","#90 of 2,785",#6 of 23,Denmark,Copenhagen,Non-profit,19%,Bachelor,"47,910",www.unibas.ch,German,,+41 (61) 267 3111,,"Postfach, Petersplatz 1
 Basel, Basel-Stadt, 4001 
Switzerland"
University of Bergen,"#231 of 14,131","#83 of 2,785",#2 of 29,the United Kingdom,Scotland,Non-profit,29%,null,"46,084",uib.no,Norwegian;English,,+47 55 58 00 00,,"Muséplassen 1
 Bergen, Hordaland, 5007 
Norway"
University of Bern,"#171 of 14,131","#56 of 2,785",#5 of 23,Italy,Veneto,Non-profit,20%,Doctorate,"70,376",www.unibe.ch,German;English,,+41 (31) 631 3470,,"Hochschulstrasse 4
 Bern, Bern, 3012 
Switzerland"
University of Birmingham,"#101 of 14,131","#24 of 2,785",#10 of 163,Germany,Rhineland-Palatinate,Non-profit,33%,Bachelor,"104,483",birmingham.ac.uk,English,,+44 (121) 414 3344,,"Edgbaston
 Birmingham, West Midlands, B15 2TT 
United Kingdom"
University of Bologna,"#98 of 14,131","#22 of 2,785",#1 of 88,Denmark,Kongens Lyngby,Non-profit,55%,Doctorate,"102,678",www.unibo.it,Italian;English,,+39 051 209 9965,,"Via Zamboni, 33
 Bologna, Emilia-Romagna, 40126 
Italy"
University of Bonn,"#128 of 14,131","#33 of 2,785",#4 of 369,the United Kingdom,England,Non-profit,16%,null,"78,199",www.uni-bonn.de,German;English,,+49 (228) 73 0,,"Regina-Pacis-Weg 3
 Bonn, North Rhine-Westphalia, 53113 
Germany"
University of Bristol,"#99 of 14,131","#23 of 2,785",#9 of 163,Belgium,Liege,Non-profit,68%,Doctorate,"104,546",bristol.ac.uk,English,,+44 (117) 928 9000,,"Beacon House, Queens Road
 Bristol, South West England, BS8 1QU 
United Kingdom"
University of Cambridge,"#7 of 14,131","#1 of 2,785",#1 of 163,Switzerland,Lausanne,Non-profit,21%,Doctorate,"260,850",www.cam.ac.uk,English,,+44 (1223) 337 733,,"The Old Schools, Trinity Lane
 Cambridge, East of England, CB2 1TN 
United Kingdom"
University of Cologne,"#185 of 14,131","#61 of 2,785",#13 of 369,Sweden,Stockholm,Non-profit,20%,Doctorate,"60,512",uni-koeln.de,German;English,,,,"Albertus-Magnus-Platz
 Köln, North Rhine-Westphalia, 50923 
Germany"
University of Copenhagen,"#73 of 14,131","#11 of 2,785",#1 of 27,Switzerland,Basel,Non-profit,37%,null,"136,745",www.ku.dk,Danish;English,,+45 3532 2626,,"Nørregade 10, Postboks 2177
 Copenhagen, Capital Region of Denmark, 1165 
Denmark"
University of Edinburgh,"#37 of 14,131","#4 of 2,785",#4 of 163,Belgium,Louvain-la-Neuve,Non-profit,51%,null,"142,627",www.ed.ac.uk,English,,+44 (131) 650 1000,,"Old College, South Bridge
 Edinburgh, Scotland, EH8 9YL 
United Kingdom"
University of Erlangen Nuremberg,"#205 of 14,131","#70 of 2,785",#16 of 369,Switzerland,Lausanne,Non-profit,45%,Doctorate,"76,010",www.fau.de,German,,+49 (9131) 85 24444,,"Schlossplatz 4
 Erlangen, Bavaria, 91054 
Germany"
University of Exeter,"#223 of 14,131","#80 of 2,785",#23 of 163,Norway,Oslo,Non-profit,49%,Doctorate,"46,419",www.exeter.ac.uk,English,,+44 (1392) 661 000,,"Northcote House, The Queen's Drive
 Exeter, South West England, EX4 4QJ 
United Kingdom"
University of Florence,"#251 of 14,131","#93 of 2,785",#7 of 88,Switzerland,Zurich,Non-profit,44%,Doctorate,"70,023",www.unifi.it,Italian,,+39 055 27571,,"Piazza San Marco, 4
 Firenze, Toscana, 50121 
Italy"
University of Freiburg,"#155 of 14,131","#48 of 2,785",#10 of 369,the Netherlands,Amsterdam,Non-profit,33%,Doctorate,"68,881",uni-freiburg.de,German;English,,+49 (761) 203-0,,"Friedrichstr. 39
 Freiburg im Breisgau, Baden-Wurttemberg, 79098 
Germany"
University of Geneva,"#168 of 14,131","#54 of 2,785",#4 of 23,Germany,Brandenburg,Non-profit,21%,Doctorate,"58,581",unige.ch,French,,+41 (22) 379 7111,,"24, Rue du Général-Dufour
 Geneva, Geneva, 1211 
Switzerland"
University of Glasgow,"#91 of 14,131","#18 of 2,785",#8 of 163,Norway,Bergen,Non-profit,36%,Doctorate,"90,413",www.gla.ac.uk,English,,+44 (141) 330 2000,,"University Avenue
 Glasgow, Scotland, G12 8QQ 
United Kingdom"
University of Gothenburg,"#208 of 14,131","#72 of 2,785",#4 of 39,the United Kingdom,England,Non-profit,39%,Doctorate,"57,498",gu.se,Swedish;English,,+46 (31) 786 1000,,"PO Box 100
 Göteborg, Vastra Gotaland County, 405 30 
Sweden"
University of Gottingen,"#130 of 14,131","#34 of 2,785",#5 of 369,Germany,Saxony,Non-profit,13%,Doctorate,"77,583",uni-goettingen.de,German;English,,+49 (551) 390,,"Wilhelmsplatz 1
 Göttingen, Lower Saxony, 37073 
Germany"
University of Groningen,"#161 of 14,131","#50 of 2,785",#4 of 58,the Netherlands,Leiden,Non-profit,5%,Doctorate,"61,271",www.rug.nl,Dutch;English,,+31 (50) 363 5420,,"Broerstraat 5
 Groningen, Groningen, 9712 CP 
Netherlands"
University of Hamburg,"#133 of 14,131","#35 of 2,785",#6 of 369,the United Kingdom,Wales,Non-profit,13%,Doctorate,"80,199",www.uni-hamburg.de,German,,+49 (40) 42838-0,,"Mittelweg 177
 Hamburg, Hamburg, 20148 
Germany"
University of Helsinki,"#87 of 14,131","#17 of 2,785",#1 of 36,the United Kingdom,England,Non-profit,17%,Doctorate,"100,167",www.helsinki.fi,Finnish;Swedish;English,,+358 (9) 1911,,"PO Box 33, Fabianinkatu 33
 Helsinki, Uusimaa, 00014 
Finland"
University of Lausanne,"#268 of 14,131","#100 of 2,785",#7 of 23,the United Kingdom,England,Non-profit,23%,Doctorate,"41,658",unil.ch,French;English,,+41 (21) 692 1111,,"Unicentre
 Lausanne, Vaud, 1015 
Switzerland"
University of Leeds,"#108 of 14,131","#28 of 2,785",#11 of 163,Sweden,Stockholm,Non-profit,22%,Doctorate,"92,009",leeds.ac.uk,English,,+44 (113) 243 1751,,"Woodhouse Lane
 Leeds, Yorkshire and the Humber, LS2 9JT 
United Kingdom"
University of Leicester,"#242 of 14,131","#89 of 2,785",#25 of 163,Germany,Baden-Wurttemberg,Non-profit,72%,Doctorate,"56,904",le.ac.uk,English,,+44 (116) 252 2522,,"University Road
 Leicester, East Midlands, LE1 7RH 
United Kingdom"
University of Leipzig,"#197 of 14,131","#67 of 2,785",#15 of 369,Germany,Lower Saxony,Non-profit,10%,Doctorate,"52,599",www.uni-leipzig.de,German;English,,+49 (341) 97 108,,"Ritterstrasse 26
 Leipzig, Saxony, 04109 
Germany"
University of Liege,"#221 of 14,131","#78 of 2,785",#3 of 63,the United Kingdom,England,Non-profit,33%,Master,"140,300",uliege.be,French,,+32 (4) 366 9666,,"Place du 20 Août 7
 Liège, Liege, 4000 
Belgium"
University of Liverpool,"#180 of 14,131","#59 of 2,785",#18 of 163,the United Kingdom,England,Non-profit,14%,Doctorate,"84,784",www.liverpool.ac.uk,English,,+44 (151) 794 2000,,"The Foundation Building, Brownlow Hill
 Liverpool, North West England, L69 7ZX 
United Kingdom"
University of London,"#232 of 14,131","#84 of 2,785",#24 of 163,Finland,Helsinki,Non-profit,63%,Doctorate,"80,122",london.ac.uk,English,,+44 (20) 7862 8000,,"Senate House, Malet Street
 London, London, WC1E 7HU 
United Kingdom"
University of Manchester,"#60 of 14,131","#7 of 2,785",#6 of 163,Greece,Athens,Non-profit,28%,Doctorate,"151,596",manchester.ac.uk,English,,+44 (161) 306 6000,,"Oxford Road
 Manchester, North West England, M13 9PL 
United Kingdom"
University of Milan,"#124 of 14,131","#32 of 2,785",#3 of 88,Spain,Cerdanyola del Valles,Non-profit,52%,Doctorate,"124,921",www.unimi.it,Italian,,+39 02 503 111,,"Via Festa del Perdono, 7
 Milano, Lombardia, 20122 
Italy"
University of Munich,"#57 of 14,131","#6 of 2,785",#1 of 369,the United Kingdom,Scotland,For-profit,55%,Doctorate,"145,451",www.lmu.de,null,,+49 (89) 21800,,"Geschwister-Scholl-Platz 1
 München, Bavaria, 80539 
Germany"
University of Munster,"#186 of 14,131","#62 of 2,785",#14 of 369,Spain,Madrid,Non-profit,15%,null,"62,717",www.uni-muenster.de,German,,+49 (251) 83 0,,"Schlossplatz 2
 Münster, North Rhine-Westphalia, 48149 
Germany"
University of Nottingham,"#115 of 14,131","#29 of 2,785",#12 of 163,Sweden,Gothenburg,Non-profit,11%,Doctorate,"107,846",nottingham.ac.uk,English,,+44 (115) 951 5151,,"University Park
 Nottingham, East Midlands, NG7 2RD 
United Kingdom"
University of Oslo,"#97 of 14,131","#21 of 2,785",#1 of 29,the United Kingdom,England,Non-profit,23%,Doctorate,"85,049",www.uio.no,Norwegian;English,,+47 22 85 50 50,,"PO Box 1072, Blindern
 Oslo, Oslo, 0316 
Norway"
University of Oxford,"#10 of 14,131","#2 of 2,785",#2 of 163,Norway,Trondheim,Non-profit,18%,null,"241,392",www.ox.ac.uk,English,,,,"Wellington Square
 Oxford, South East England, OX1 2JD 
United Kingdom"
University of Padua,"#151 of 14,131","#45 of 2,785",#4 of 88,Switzerland,Bern,Non-profit,49%,Master,"100,320",www.unipd.it,Italian,,+39 049 827 3131,,"Via VIII Febbraio, 2
 Padova, Veneto, 35122 
Italy"
University of Pisa,"#239 of 14,131","#87 of 2,785",#6 of 88,the United Kingdom,England,Non-profit,25%,Doctorate,"63,169",unipi.it,Italian,,+39 050 221 2111,,"Lungarno Pacinotti, 43
 Pisa, Toscana, 56126 
Italy"
University of Sheffield,"#137 of 14,131","#36 of 2,785",#13 of 163,the Netherlands,Nijmegen,Non-profit,14%,Bachelor,"91,975",www.sheffield.ac.uk,English,,+44 (114) 222 2000,,"Western Bank
 Sheffield, Yorkshire and the Humber, S10 2TN 
United Kingdom"
University of Southampton,"#147 of 14,131","#42 of 2,785",#15 of 163,the United Kingdom,England,Non-profit,84%,Bachelor,"90,361",www.southampton.ac.uk,English,,+44 (23) 8059 5000,,"Gamma House, Enterprise Road
 Southampton, South East England, SO17 1BJ 
United Kingdom"
University of St Andrews,"#253 of 14,131","#95 of 2,785",#26 of 163,Germany,Bavaria,Non-profit,62%,Doctorate,"41,331",www.st-andrews.ac.uk,English,,+44 (1334) 46 2150,,"College Gate, North Street
 St Andrews, Scotland, KY16 9AJ 
United Kingdom"
University of Sussex,"#255 of 14,131","#96 of 2,785",#27 of 163,the United Kingdom,England,Non-profit,65%,Bachelor,"40,752",www.sussex.ac.uk,English,,+44 (1273) 606 755,,"Sussex House, Falmer
 Brighton, South East England, BN1 9RH 
United Kingdom"
University of Tubingen,"#146 of 14,131","#41 of 2,785",#7 of 369,Germany,Baden-Wurttemberg,Non-profit,8%,Doctorate,"75,185",uni-tuebingen.de,German;English,,+49 (7071) 29 0,,"Wilhelmstrasse 5
 Tübingen, Baden-Wurttemberg, 72074 
Germany"
University of Turin,"#235 of 14,131","#86 of 2,785",#5 of 88,Switzerland,Zurich,Non-profit,43%,Doctorate,"69,511",www.unito.it,Italian,,+39 011 670 6111,,"Via Verdi, 8
 Torino, Piemonte, 10124 
Italy"
University of Valencia,"#240 of 14,131","#88 of 2,785",#4 of 75,Belgium,Leuven,Non-profit,55%,null,"61,369",www.uv.es,Spanish,,+34 963864101,,"Avenida Blanco Ibáñez 13
 Valencia, Valencian Community, 46010 
Spain"
University of Vienna,"#92 of 14,131","#19 of 2,785",#1 of 71,Germany,Bavaria,Non-profit,24%,null,"87,773",univie.ac.at,German,,+43 (1) 4277 0,,"Universitätsring 1
 Vienna, Vienna, 1010 
Austria"
University of Warsaw,"#266 of 14,131","#98 of 2,785",#1 of 127,the United Kingdom,England,Non-profit,25%,Doctorate,"54,854",www.uw.edu.pl,Polish,,+48 (22) 552 0000,,"ul. Krakowskie Przedmiescie 26/28
 Warszawa, Masovian Voivodeship, 00-927 
Poland"
University of Warwick,"#139 of 14,131","#37 of 2,785",#14 of 163,the Netherlands,Rotterdam,Non-profit,14%,Doctorate,"70,799",warwick.ac.uk,English,,+44 (24) 7652 3706,,"University House, Gibbet Hill
 Coventry, West Midlands, CV4 7AL 
United Kingdom"
University of Wurzburg,"#229 of 14,131","#82 of 2,785",#21 of 369,Austria,Vienna,Non-profit,18%,Doctorate,"54,472",uni-wuerzburg.de,German;English,,+49 (931) 310,,"Sanderring 2
 Würzburg, Bavaria, 97070 
Germany"
University of York,"#199 of 14,131","#68 of 2,785",#21 of 163,Germany,North Rhine-Westphalia,Non-profit,40%,null,"51,711",york.ac.uk,English,,+44 (1904) 430 000,,"Heslington
 York, Yorkshire and the Humber, YO10 5DD 
United Kingdom"
University of Zurich,"#81 of 14,131","#15 of 2,785",#2 of 23,Italy,Piedmont,Non-profit,19%,null,"110,940",uzh.ch,German;English,,+41 (44) 634 1111,,"Rämistrasse 71
 Zürich, Zurich, 8006 
Switzerland"
Uppsala University,"#106 of 14,131","#26 of 2,785",#2 of 39,Germany,Saxony,Non-profit,75%,Doctorate,"93,456",uu.se,Swedish;English,,+46 (18) 471 0000,,"von Kraemers allé 1, Blåsenhus
 Uppsala, Uppsala County, 752 36 
Sweden"
Utrecht University,"#71 of 14,131","#10 of 2,785",#2 of 58,Ireland,Dublin,Non-profit,4%,Doctorate,"123,328",www.uu.nl,Dutch;English,,+31 (30) 253 7000,,"Heidelberglaan 8
 Utrecht, Utrecht, 3584 CS 
Netherlands"
Wageningen University,"#218 of 14,131","#76 of 2,785",#9 of 58,Italy,Lazio,Non-profit,46%,Bachelor,"47,281",www.wur.nl,Dutch;English,,+31 (317) 484 848,,"Droevendaalsesteeg 4
 Wageningen, Gelderland, 6708 PB 
Netherlands"
